"DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","PAYLOAD","SEATS","PASSENGERS","FREIGHT","MAIL","DISTANCE","RAMP_TO_RAMP","AIR_TIME","UNIQUE_CARRIER_NAME","CARRIER","ORIGIN","DEST","AIRCRAFT_GROUP","AIRCRAFT_TYPE","AIRCRAFT_CONFIG","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS",
0.00,2.00,71200.00,256.00,64.00,0.00,0.00,1194.00,376.00,333.00,"American Airlines Inc.","AA","EGE","BHM",6,"698",1,2017,1,2,3,"L",
0.00,7.00,684600.00,0.00,0.00,272457.00,0.00,451.00,624.00,516.00,"ABX Air Inc","ABX","ABE","ILN",6,"625",2,2017,1,2,1,"P",
0.00,1.00,162000.00,0.00,0.00,1686.00,0.00,373.00,78.00,60.00,"ABX Air Inc","ABX","ATL","CVG",6,"626",2,2017,1,2,1,"P",
0.00,1.00,97800.00,0.00,0.00,23426.00,0.00,230.00,66.00,42.00,"ABX Air Inc","ABX","BNA","CVG",6,"625",2,2017,1,2,1,"P",
0.00,1.00,97800.00,0.00,0.00,17364.00,0.00,200.00,54.00,42.00,"ABX Air Inc","ABX","BNA","MEM",6,"625",2,2017,1,2,1,"P",
0.00,1.00,97800.00,0.00,0.00,33790.00,0.00,2232.00,330.00,318.00,"ABX Air Inc","ABX","CLT","SCK",6,"625",2,2017,1,2,5,"P",
0.00,1.00,97800.00,0.00,0.00,25087.00,0.00,230.00,54.00,42.00,"ABX Air Inc","ABX","CVG","BNA",6,"625",2,2017,1,2,1,"P",
0.00,1.00,162000.00,0.00,0.00,570.00,0.00,54.00,30.00,18.00,"ABX Air Inc","ABX","CVG","ILN",6,"626",2,2017,1,2,1,"P",
0.00,12.00,1173600.00,0.00,0.00,536243.00,0.00,865.00,1506.00,1278.00,"ABX Air Inc","ABX","DFW","ILN",6,"625",2,2017,1,2,2,"P",
0.00,8.00,782400.00,0.00,0.00,405000.00,0.00,451.00,996.00,930.00,"ABX Air Inc","ABX","ILN","ABE",6,"625",2,2017,1,2,1,"P",
0.00,1.00,162000.00,0.00,0.00,595.00,0.00,54.00,36.00,18.00,"ABX Air Inc","ABX","ILN","CVG",6,"626",2,2017,1,2,1,"P",
0.00,12.00,1173600.00,0.00,0.00,587347.00,0.00,865.00,1704.00,1590.00,"ABX Air Inc","ABX","ILN","DFW",6,"625",2,2017,1,2,2,"P",
0.00,2.00,195600.00,0.00,0.00,105409.00,0.00,1618.00,510.00,486.00,"ABX Air Inc","ABX","ILN","PHX",6,"625",2,2017,1,2,4,"P",
0.00,1.00,97800.00,0.00,0.00,56315.00,0.00,2013.00,264.00,252.00,"ABX Air Inc","ABX","ILN","SCK",6,"625",2,2017,1,2,5,"P",
0.00,1.00,97800.00,0.00,0.00,32138.00,0.00,403.00,84.00,60.00,"ABX Air Inc","ABX","MEM","CVG",6,"625",2,2017,1,2,1,"P",
0.00,1.00,97800.00,0.00,0.00,52266.00,0.00,2342.00,282.00,252.00,"ABX Air Inc","ABX","ONT","ABE",6,"625",2,2017,1,2,5,"P",
0.00,4.00,391200.00,0.00,0.00,117761.00,0.00,1618.00,774.00,720.00,"ABX Air Inc","ABX","PHX","ILN",6,"625",2,2017,1,2,4,"P",
0.00,1.00,97800.00,0.00,0.00,35450.00,0.00,2013.00,252.00,240.00,"ABX Air Inc","ABX","SCK","ILN",6,"625",2,2017,1,2,5,"P",
0.00,1.00,42500.00,173.00,0.00,0.00,0.00,531.00,80.00,70.00,"Miami Air International","GL","AGS","MIA",6,"614",1,2017,1,2,2,"L",
0.00,1.00,29700.00,154.00,0.00,0.00,0.00,418.00,85.00,65.00,"Miami Air International","GL","AHN","CMH",6,"617",1,2017,1,2,1,"L",
0.00,1.00,42500.00,173.00,32.00,0.00,0.00,291.00,80.00,55.00,"Miami Air International","GL","AHN","LEX",6,"614",1,2017,1,2,1,"L",
0.00,1.00,29700.00,154.00,52.00,0.00,0.00,291.00,85.00,55.00,"Miami Air International","GL","AHN","LEX",6,"617",1,2017,1,2,1,"L",
0.00,1.00,42500.00,173.00,0.00,0.00,0.00,447.00,83.00,65.00,"Miami Air International","GL","ATL","CMH",6,"614",1,2017,1,2,1,"L",
0.00,1.00,42500.00,173.00,43.00,0.00,0.00,594.00,110.00,85.00,"Miami Air International","GL","ATL","MIA",6,"614",1,2017,1,2,2,"L",
0.00,1.00,42500.00,173.00,0.00,0.00,0.00,1550.00,195.00,168.00,"Miami Air International","GL","AZA","LEX",6,"614",1,2017,1,2,4,"L",
0.00,1.00,42500.00,173.00,50.00,0.00,0.00,648.00,120.00,105.00,"Miami Air International","GL","BED","INT",6,"614",1,2017,1,2,2,"L",
0.00,1.00,42500.00,173.00,0.00,0.00,0.00,598.00,95.00,80.00,"Miami Air International","GL","BHM","PIT",6,"614",1,2017,1,2,2,"L",
0.00,1.00,42500.00,173.00,66.00,0.00,0.00,493.00,89.00,73.00,"Miami Air International","GL","BHM","SRQ",6,"614",1,2017,1,2,1,"L",
0.00,1.00,42500.00,173.00,36.00,0.00,0.00,349.00,75.00,60.00,"Miami Air International","GL","BNA","CAE",6,"614",1,2017,1,2,1,"L",
0.00,1.00,42500.00,173.00,0.00,0.00,0.00,530.00,95.00,80.00,"Miami Air International","GL","BNA","FOE",6,"614",1,2017,1,2,2,"L",
0.00,1.00,42500.00,173.00,85.00,0.00,0.00,426.00,85.00,75.00,"Miami Air International","GL","BNA","XNA",6,"614",1,2017,1,2,1,"L",
0.00,1.00,29700.00,154.00,54.00,0.00,0.00,1609.00,275.00,245.00,"Miami Air International","GL","BOS","HOU",6,"617",1,2017,1,2,4,"L",
0.00,1.00,29700.00,154.00,0.00,0.00,0.00,1185.00,205.00,175.00,"Miami Air International","GL","BOS","TPA",6,"617",1,2017,1,2,3,"L",
0.00,1.00,29700.00,154.00,44.00,0.00,0.00,553.00,120.00,95.00,"Miami Air International","GL","BWI","LAF",6,"617",1,2017,1,2,2,"L",
0.00,2.00,85000.00,346.00,36.00,0.00,0.00,349.00,170.00,135.00,"Miami Air International","GL","CAE","BNA",6,"614",1,2017,1,2,1,"L",
0.00,1.00,29700.00,154.00,31.00,0.00,0.00,344.00,75.00,60.00,"Miami Air International","GL","CAE","LEX",6,"617",1,2017,1,2,1,"L",
